City,Business Type,Company Name,Physical Address,About Section,Website,General Email,General Phone,Personnel 1 Name,Personnel 1 Title,Personnel 1 Email,Personnel 2 Name,Personnel 2 Title,Personnel 2 Email
Birmingham,Accounting,BMSS Advisors & CPAs,"300 Richard Arrington Jr Blvd N #100, Birmingham, AL 35203","A top 100 US accounting firm offering comprehensive tax, audit, and advisory services.",https://www.bmss.com/,info@bmss.com,(205) 982-5500,Keith Barfield,Founding Member,kbarfield@bmss.com,Steve Smith,Founding Member,ssmith@bmss.com
Birmingham,Accounting,"Banks, Finley, White & Co.","617 37th St S, Birmingham, AL 35222","One of the largest minority-owned CPA firms in the country, serving diverse industries.",https://bfwcpa.com/,info@bfwcpa.com,(205) 326-6660,James C. White,Managing Partner,jimwhite@bfwcpa.com,Jeffrey White,Partner,jwhite@bfwcpa.com
Birmingham,Accounting,Deloitte,"420 20th St N #2400, Birmingham, AL 35203",A global professional services firm with a major hub in downtown Birmingham.,https://www2.deloitte.com/,info@deloitte.com,(205) 321-6000,J. Scott Lovelady,Managing Partner,,Greg Self,Partner,
Birmingham,Accounting,Ernst & Young (EY),"1901 6th Ave N #1200, Birmingham, AL 35203","A Big Four accounting firm providing assurance, tax, and consulting services.",https://www.ey.com/,info@ey.com,(205) 251-2000,K.C. Pang,Office Managing Partner,,Lee D. Mitchell,Partner,
Birmingham,Accounting,KPMG LLP,"420 20th St N #1800, Birmingham, AL 35203","A global network of professional firms providing audit, tax, and advisory services.",https://kpmg.com/,info@kpmg.com,(205) 328-2086,Chip Hoover,Managing Partner,,John Romano,Partner,
Birmingham,Accounting,Kassouf & Co.,"2101 Highland Ave S #300, Birmingham, AL 35205","A CPA and advisory firm specializing in healthcare, architecture, and engineering sectors.",https://kassouf.com/,info@kassouf.com,(205) 443-2500,Jonathan Kassouf,Director,jkassouf@kassouf.com,Gerard Kassouf,Director,gkassouf@kassouf.com
Birmingham,Accounting,"Mauldin & Jenkins, LLC","2000 SouthBridge Pkwy #501, Birmingham, AL 35209","A regional accounting firm providing audit, tax, and advisory services to the Southeast.",https://www.mjcpa.com/,info@mjcpa.com,(205) 445-2880,Hanson Borders,Partner,hborders@mjcpa.com,Jeff Faucette,Partner,jfaucette@mjcpa.com
Birmingham,Accounting,Mayer LLP,"2100 3rd Ave N #900, Birmingham, AL 35203",A full-service accounting firm delivering tailored financial solutions to businesses.,https://mayerllp.com/,info@mayerllp.com,(205) 982-5555,Jim Mayer,Partner,,Ben Mayer,Partner,
Birmingham,Accounting,RSM US LLP,"420 20th St N #2600, Birmingham, AL 35203","A leading provider of audit, tax, and consulting services to the middle market.",https://rsmus.com/,info@rsmus.com,(205) 278-0001,D. Paul Jones,Partner,,Brian Creek,Partner,
Birmingham,Accounting,Tidwell Group,"2001 Park Pl #900, Birmingham, AL 35203",A boutique accounting firm known for its expertise in the affordable housing industry.,https://tidwellgroup.com/,info@tidwellgroup.com,(205) 271-5527,Barry Tidwell,Managing Partner,,Josh Northcutt,Partner,
Birmingham,Engineering,Bhate Environmental Associates,"1608 13th Ave S, Birmingham, AL 35205",An environmental engineering and program management firm serving federal and commercial clients.,https://www.bhate.com/,info@bhate.com,(205) 918-4000,,,,,,
Birmingham,Engineering,Brasfield & Gorrie,"3021 7th Ave S, Birmingham, AL 35233",One of the nation's largest privately held construction and engineering firms.,https://www.brasfieldgorrie.com/,info@brasfieldgorrie.com,(205) 328-4000,,,,,,
Birmingham,Engineering,"Christy/Cobb, Inc.","2320 Highland Ave S, Birmingham, AL 35205",A woman-owned structural engineering firm with over 40 years of experience.,https://www.christycobb.com/,info@christycobb.com,(205) 933-1080,,,,,,
Birmingham,Engineering,Dynamic Civil Solutions,"2210 2nd Ave N, Birmingham, AL 35203",A civil engineering consultancy focused on site development and municipal projects.,https://dcseng.com/,info@dcseng.com,(205) 358-7256,,,,,,
Birmingham,Engineering,Goodwyn Mills Cawood (GMC),"2400 5th Ave S, Birmingham, AL 35233",A multidisciplinary architecture and engineering firm with a major design studio in Birmingham.,https://www.gmcnetwork.com/,info@gmcnetwork.com,(205) 879-4462,,,,,,
Birmingham,Engineering,Hains Engineering Company,"3928 3rd Ave S, Birmingham, AL 35222",A mechanical and electrical engineering firm specializing in industrial systems.,https://hainsengineering.com/,info@hainsengineering.com,(205) 595-5835,,,,,,
Birmingham,Engineering,LBYD Engineers,"880 Montclair Rd, Birmingham, AL 35213",A civil and structural engineering firm known for complex commercial and institutional projects.,https://www.lbyd.com/,info@lbyd.com,(205) 488-0300,,,,,,
Birmingham,Engineering,"MBA Engineers, Inc.","300 20th St N #100, Birmingham, AL 35203",A structural engineering firm providing design services for buildings and special structures.,https://www.mbasei.com/,info@mbasei.com,(205) 323-6385,,,,,,
Birmingham,Engineering,Schoel Engineering,"1001 2nd Ave S, Birmingham, AL 35233",A civil engineering and surveying firm that has shaped Birmingham's infrastructure since 1888.,https://schoel.com/,info@schoel.com,(205) 323-6166,,,,,,
Birmingham,Engineering,Southern Company Services,"30 Ivan Ln, Birmingham, AL 35211",The engineering and technical services division of the Southern Company energy utility.,https://www.southerncompany.com/,info@southerncompany.com,(205) 257-1000,,,,,,
Birmingham,Food/Entertainment,Automatic Seafood and Oysters,"2824 5th Ave S, Birmingham, AL 35233",An upscale seafood restaurant by Chef Adam Evans featuring Gulf coast ingredients.,https://www.automaticseafood.com/,info@automaticseafood.com,(205) 580-1600,,,,,,
Birmingham,Food/Entertainment,Bottega,"2240 Highland Ave, Birmingham, AL 35205",A celebrated Italian restaurant by Chef Frank Stitt housed in a historic stone building.,https://bottegarestaurant.com/,info@bottegarestaurant.com,(205) 939-1000,,,,,,
Birmingham,Food/Entertainment,Cafe Dupont,"113 20th St N, Birmingham, AL 35203",A bistro serving classic Southern cuisine in a renovated downtown storefront.,https://www.cafedupont.net/,info@cafedupont.net,(205) 322-1282,,,,,,
Birmingham,Food/Entertainment,Chez Fonfon,"2007 11th Ave S, Birmingham, AL 35205",A bustling French bistro known for its authentic atmosphere and award-winning burger.,https://www.fonfonbham.com/,info@fonfonbham.com,(205) 939-3221,,,,,,
Birmingham,Food/Entertainment,El Barrio,"2211 2nd Ave N, Birmingham, AL 35203",A vibrant multi-regional Mexican restaurant famous for its design and meatloaf.,https://elbarriobirmingham.com/,info@elbarriobirmingham.com,(205) 868-3737,,,,,,
Birmingham,Food/Entertainment,Helen,"2013 2nd Ave N, Birmingham, AL 35203",A contemporary Southern grill by Chef Rob McDaniel focused on wood-fired cooking.,https://www.helenbham.com/,info@helenbham.com,(205) 438-7000,,,,,,
Birmingham,Food/Entertainment,Hot and Hot Fish Club,"2901 2nd Ave S #110, Birmingham, AL 35233","A James Beard Award-winning restaurant blending Southern, French, and California styles.",https://www.hotandhotfishclub.com/,info@hotandhotfishclub.com,(205) 933-5474,,,,,,
Birmingham,Food/Entertainment,Niki's West,"233 Finley Ave W, Birmingham, AL 35204",A legendary cafeteria-style restaurant serving a vast array of Southern vegetables and meats.,https://www.nikiswest.com/,info@nikiswest.com,(205) 252-5751,,,,,,
Birmingham,Food/Entertainment,Saw's Soul Kitchen,"215 41st St S, Birmingham, AL 35222",A casual BBQ joint in Avondale famous for its pork and greens and smoked wings.,https://www.sawsbbq.com/,info@sawsbbq.com,(205) 591-1409,,,,,,
Birmingham,Food/Entertainment,The Garage,"2304 10th Terrace S, Birmingham, AL 35205","A quirky bar and cafe known for its soups, sandwiches, and courtyard filled with antiques.",http://www.garagecafe.com/,info@garagecafe.com,(205) 322-3220,,,,,,
Birmingham,Home Services,Craftsman Plumbing,"4321 Morris Ave Suite E, Birmingham, AL 35222",A residential and commercial plumbing service located in the Avondale district.,https://craftsmanplumbing.com/,info@craftsmanplumbing.com,(205) 202-3925,,,,,,
Birmingham,Home Services,Douglas Cooling & Heating,"1229 3rd Ave N, Birmingham, AL 35203",A family-owned HVAC company serving Birmingham residents for over 45 years.,https://douglascoolingandheating.com/,info@douglascoolingandheating.com,(205) 322-7940,,,,,,
Birmingham,Home Services,Drain Go Plumbing,"2011 11th Ave S, Birmingham, AL 35205",A full-service plumbing company specializing in drain cleaning and emergency repairs.,https://draingo.com/,info@draingo.com,(205) 250-9939,,,,,,
Birmingham,Home Services,Freedom Heating and Cooling,"2881 Shannon Oxmoor Rd, Birmingham, AL 35211",A veteran-owned HVAC contractor providing installation and maintenance services.,https://freedomhvacal.com/,info@freedomhvacal.com,(205) 444-4444,,,,,,
Birmingham,Home Services,"Guin Service, LLC","10 35th St N, Birmingham, AL 35222",A trusted plumbing and HVAC provider operating in Birmingham since 1958.,https://www.guinservice.com/,info@guinservice.com,(205) 595-4846,,,,,,
Birmingham,Home Services,"Hiller Plumbing, Heating, Cooling & Electrical","441 University Blvd, Birmingham, AL 35205",A large regional home service company with a fully staffed local Birmingham branch.,https://happyhiller.com/,info@happyhiller.com,(205) 578-1234,,,,,,
Birmingham,Home Services,John's Plumbing,"5851 Service Rd, Birmingham, AL 35235",A long-standing plumbing repair service handling residential and commercial needs.,https://johnsplumbingbirmingham.com/,info@johnsplumbingbirmingham.com,(205) 655-5646,,,,,,
Birmingham,Home Services,New Era Plumbing,"2900 Reverend Abraham Woods Jr Blvd, Birmingham, AL 35203",A professional plumbing team focused on new construction and major repairs.,https://neweraplumbing.com/,info@neweraplumbing.com,(205) 208-0100,,,,,,
Birmingham,Home Services,"Standard Heating, Cooling & Plumbing","520 8th St S, Birmingham, AL 35233",A prominent HVAC and plumbing contractor with a service center in downtown Birmingham.,https://standardheatingandairconditioning.com/,info@standardheatingandairconditioning.com,(205) 322-2679,,,,,,
Birmingham,Home Services,"Stegall Heating, Cooling, Plumbing & Electrical","2800 5th Ave S, Birmingham, AL 35233",A comprehensive home service provider serving Birmingham since 1957.,https://stegallheating.com/,info@stegallheating.com,(205) 251-0330,,,,,,
