City,Business Type,Company Name,About Section,Website,General Email,General Phone,Personnel 1 Name,Personnel 1 Title,Personnel 1 Email,Personnel 2 Name,Personnel 2 Title,Personnel 2 Email
Huntsville,Legal,Bradley Arant Boult Cummings LLP,"National full-service firm focusing on corporate litigation, gov-con, and IP.",bradley.com,info@bradley.com,256-517-5100,Benjamin W. Hutton,Office Managing Partner,bhutton@bradley.com,Rhonda Bagwell,Office Administrator,—
Huntsville,Legal,Dentons Sirote PC,"Global firm providing tax, real estate, and government contract legal services.",dentons.com,info@sirote.com,256-536-1711,Michelle Abroms Levin,Managing Partner,michelle.levin@dentons.com,Roderic G. Steakley,Partner,—
Huntsville,Legal,"Hornsby, Watson & Hornsby",Plaintiff-focused firm specializing in workers' compensation and injury litigation.,hornsbywatson.com,law@hornsbywatson.com,256-650-5500,Ralph W. Hornsby Sr.,Partner,—,S.A. Watson Jr.,Partner,—
Huntsville,Legal,Lanier Ford Shaver & Payne P.C.,"Professional defense firm for healthcare, municipal law, and business entities.",lanierford.com,info@LanierFord.com,256-535-1100,Daniel F. Beasley,Shareholder,dfb@LanierFord.com,David J. Canupp,Shareholder,—
Huntsville,Legal,"Martinson & Beason, P.C.","Heritage Huntsville firm handling real estate, probate, and injury law since 1937.",martinsonandbeason.com,info@martinsonandbeason.com,256-533-1667,Douglas C. Martinson II,Partner,dougii@martinsonandbeason.com,A. Mac Martinson,Partner,—
Huntsville,Legal,Maynard Nexsen PC,"Regional powerhouse specializing in labor, defense industry, and corporate law.",maynardnexsen.com,info@maynardnexsen.com,256-551-0171,Walter Dodgen,Shareholder,—,W. Brad English,Shareholder,—
Huntsville,Legal,"Morris, King & Hodge, P.C.","Dedicated trial attorneys for wrongful death, product liability, and car accidents.",mkhlawyers.com,info@mkhlawyers.com,256-536-0588,Harvey B. Morris,Partner,—,"Joe A. King, Jr.",Partner,—
Huntsville,Legal,"Timberlake, League & Brooks",High-profile plaintiff's firm specializing in personal injury and workers' comp.,law-injury.com,info@law-injury.com,256-536-0770,Will League,Partner,—,Heath Brooks,Partner,—
Huntsville,Legal,"Wilmer & Lee, P.A.",Multi-disciplinary firm serving business clients in civil litigation and employment law.,wilmerandlee.com,info@wilmerlee.com,256-533-0202,Frederick L. Fohrell,Shareholder,ffohrell@wilmerlee.com,S. Dagnal Rowe,Shareholder,—
Huntsville,Legal,"Wolfe, Jones, Wolfe, Hancock, Daniel & South LLC","Local experts in real estate closings, banking law, and civil litigation.",wolfejones.com,info@wolfejones.com,256-534-2205,William M. Hancock,Managing Partner,—,Zachary Guyse,Partner,zguyse@wolfejones.com
Huntsville,Medical,"Alabama Colon & Gastro, P.C.",A dedicated gastroenterology practice focusing on digestive health and cancer screening.,alabamacolonandgastro.com,info@alabamacolonandgastro.com,256-533-6488,Dr. Bradley Rice,Gastroenterologist,—,Dr. Benjamin Nunley,Gastroenterologist,—
Huntsville,Medical,Alabama Dermatology and Skin Specialists,"Offers comprehensive medical, surgical, and cosmetic dermatology services.",alderm.com,contact@alderm.com,256-534-3376,Dr. Thomas Bender,Dermatologist,—,Dr. Ronald Johnston,Dermatologist,—
Huntsville,Medical,Center for Colon & Digestive Disease (HSVGI),"Specializes in the treatment of digestive disorders, liver disease, and endoscopic procedures.",hsvgi.com,info@hsvgi.com,256-533-6488,Dr. Dino Ferrante,Gastroenterologist,—,Dr. Julian Billings,Gastroenterologist,—
Huntsville,Medical,Clearview Cancer Institute,One of the most advanced community-based oncology practices in the Southeast.,clearviewcancer.com,newpatientfax@ccihsv.com,256-705-4224,Dr. John F. Gleason Jr.,Medical Director,—,Dr. Harry J. McCarty III,Radiation Oncologist,—
Huntsville,Medical,Crestwood Medical Center,A full-service acute care hospital offering robotic surgery and specialized cardiac care.,crestwoodmedcenter.com,info@crestwoodmedcenter.com,256-429-4000,Garett May,COO,—,Dr. Vick DiCarlo II,Chief of Staff,—
Huntsville,Medical,Huntsville Hospital Health System,"The second-largest hospital in Alabama, serving as the regional referral center for North Alabama.",huntsvillehospital.org,info@hhsys.org,256-265-1000,Jeff Samz,CEO,—,Sherry Fussell,Quality Officer,sherry.fussell@hhsys.org
Huntsville,Medical,North Alabama ENT Associates,"The premier provider for ear, nose, and throat care, including allergy and audiology services.",nalent.com,info@nalent.com,256-536-9300,Dr. Scott McCary,Otolaryngologist,—,Dr. John Kostrzewa,Otolaryngologist,—
Huntsville,Medical,Retina Specialists of North Alabama,"Expert care for complex retinal conditions, macular degeneration, and diabetic eye disease.",rsnallc.com,info@rsnallc.com,256-539-8851,Dr. Tarek Persaud,Retina Specialist,—,Dr. Scott E. Dorin,Retina Specialist,—
Huntsville,Medical,SportsMED Orthopedic Surgery & Spine Center,"The region's largest orthopedic practice, specializing in sports medicine and joint replacement.",sportsmedalabama.com,medicalrecords@sportsmedlink.com,256-881-5151,Dr. Jimmy Raley,Orthopedic Surgeon,—,Dr. Troy Layton,Orthopedic Surgeon,—
Huntsville,Medical,The Orthopaedic Center (TOC),"A comprehensive orthopedic center providing pediatric, spine, and trauma care since 1974.",visittoc.com,info@visittoc.com,256-539-2728,Dr. Steven L. Buckley,Pediatric Orthopaedist,—,Dr. Michael W. Cantrell,Sports Medicine MD,—
